N_6_No_RNH4CL 6mg/L tube  5ml  No Reagent :08/10/2023,17:04:46
1,1,White,4
2,2,White,928
3,3,White,934
4,4,White,926
5,5,White,923
6,6,White,928
7,7,White,933
8,8,White,932
9,9,White,928
10,10,White,925
11,11,White,929
12,12,White,931
13,13,White,929
14,14,White,928
15,15,White,927
16,16,White,923
17,17,White,932
18,18,White,925
19,19,White,926
20,20,White,928
21,21,White,926
22,22,White,931
23,23,White,927
24,24,White,930
25,25,White,923
26,26,White,932
27,27,White,928
28,28,White,934
29,29,White,934
30,1,Red,930
31,2,Red,329
32,3,Red,338
33,4,Red,340
34,5,Red,335
35,6,Red,339
36,7,Red,341
37,8,Red,339
38,9,Red,335
39,10,Red,339
40,11,Red,340
41,12,Red,336
42,13,Red,340
43,14,Red,331
44,15,Red,339
45,16,Red,334
46,17,Red,338
47,18,Red,331
48,19,Red,342
49,20,Red,338
50,21,Red,334
51,22,Red,336
52,23,Red,341
53,24,Red,339
54,25,Red,333
55,26,Red,341
56,27,Red,339
57,28,Red,335
58,29,Red,337
59,30,Red,333
60,1,Green,336
61,2,Green,388
62,3,Green,384
63,4,Green,378
64,5,Green,380
65,6,Green,385
66,7,Green,388
67,8,Green,389
68,9,Green,377
69,10,Green,383
70,11,Green,388
71,12,Green,382
72,13,Green,380
73,14,Green,384
74,15,Green,386
75,16,Green,382
76,17,Green,384
77,18,Green,382
78,19,Green,382
79,20,Green,383
80,21,Green,384
81,22,Green,383
82,23,Green,378
83,24,Green,384
84,25,Green,385
85,26,Green,387
86,27,Green,388
87,28,Green,387
88,29,Green,388
89,1,Blue,382
90,2,Blue,274
91,3,Blue,275
92,4,Blue,277
93,5,Blue,276
94,6,Blue,276
95,7,Blue,273
96,8,Blue,272
97,9,Blue,269
98,10,Blue,277
99,11,Blue,277
100,12,Blue,272
101,13,Blue,279
102,14,Blue,272
103,15,Blue,276
104,16,Blue,276
105,17,Blue,274
106,18,Blue,279
107,19,Blue,277
108,20,Blue,274
109,21,Blue,275
110,22,Blue,271
111,23,Blue,278
112,24,Blue,278
113,25,Blue,272
114,26,Blue,274
115,27,Blue,272
116,28,Blue,277
117,29,Blue,273
118,30,Blue,275
119,1,Black,274
120,2,Black,4
121,3,Black,3
122,4,Black,4
123,5,Black,5
124,6,Black,3
125,7,Black,4
126,8,Black,3
127,9,Black,4
128,10,Black,4
129,11,Black,4
130,12,Black,4
131,13,Black,4
132,14,Black,5
133,15,Black,4
134,16,Black,3
135,17,Black,4
136,18,Black,4
137,19,Black,4
138,20,Black,4
139,21,Black,4
140,22,Black,4
141,23,Black,4
142,24,Black,3
143,25,Black,4
144,26,Black,3
145,27,Black,4
146,28,Black,3
147,29,Black,3
148,0,Black,4
149,0,Black,4
150,0,Black,4
151,0,Black,5
152,0,Black,3
153,0,Black,3
154,0,Black,3
155,0,Black,4
156,0,Black,3
157,0,Black,4
158,0,Black,3
159,0,Black,4
160,0,Black,4
161,0,Black,3
162,0,Black,3
163,0,Black,4
164,0,Black,3
165,0,Black,3
166,0,Black,4
167,0,Black,3
168,0,Black,5
169,0,Black,4
170,0,Black,4
171,0,Black,4
172,0,Black,3
173,0,Black,4
174,0,Black,3
175,0,Black,4
176,0,Black,3
177,0,Black,4
178,1,White,4
179,2,White,928
180,3,White,933
181,4,White,928
182,5,White,930
183,6,White,930
184,7,White,930
185,8,White,932
186,9,White,932
187,10,White,936
188,11,White,926
189,12,White,925
190,13,White,933
191,14,White,931
192,15,White,927
193,16,White,927
194,17,White,934
195,18,White,928
196,19,White,935
197,20,White,928
198,21,White,932
199,22,White,929
200,23,White,927
201,24,White,927
202,25,White,933
203,26,White,928
204,27,White,926
205,28,White,927
206,29,White,936
207,1,Red,929
208,2,Red,334
209,3,Red,336
210,4,Red,333
211,5,Red,331
212,6,Red,333
213,7,Red,335
214,8,Red,335
215,9,Red,335
216,10,Red,341
217,11,Red,337
218,12,Red,335
219,13,Red,335
220,14,Red,334
221,15,Red,337
222,16,Red,335
223,17,Red,334
224,18,Red,337
225,19,Red,334
226,20,Red,339
227,21,Red,335
228,22,Red,341
229,23,Red,335
230,24,Red,332
231,25,Red,335
232,26,Red,339
233,27,Red,339
234,28,Red,340
235,29,Red,333
236,30,Red,328
237,1,Green,330
238,2,Green,378
239,3,Green,380
240,4,Green,381
241,5,Green,387
242,6,Green,382
243,7,Green,389
244,8,Green,384
245,9,Green,383
246,10,Green,386
247,11,Green,384
248,12,Green,385
249,13,Green,389
250,14,Green,385
251,15,Green,386
252,16,Green,384
253,17,Green,384
254,18,Green,385
255,19,Green,382
256,20,Green,390
257,21,Green,385
258,22,Green,386
259,23,Green,383
260,24,Green,381
261,25,Green,378
262,26,Green,391
263,27,Green,390
264,28,Green,386
265,29,Green,384
266,30,Green,381
267,1,Blue,381
268,2,Blue,274
269,3,Blue,272
270,4,Blue,278
271,5,Blue,272
272,6,Blue,271
273,7,Blue,275
274,8,Blue,270
275,9,Blue,273
276,10,Blue,276
277,11,Blue,275
278,12,Blue,272
279,13,Blue,278
280,14,Blue,277
281,15,Blue,269
282,16,Blue,276
283,17,Blue,274
284,18,Blue,278
285,19,Blue,280
286,20,Blue,278
287,21,Blue,278
288,22,Blue,277
289,23,Blue,274
290,24,Blue,270
291,25,Blue,273
292,26,Blue,277
293,27,Blue,279
294,28,Blue,276
295,29,Blue,272
296,1,Black,274
297,2,Black,3
298,3,Black,3
299,4,Black,4
300,5,Black,5
301,6,Black,3
302,7,Black,4
303,8,Black,4
304,9,Black,4
305,10,Black,3
306,11,Black,4
307,12,Black,4
308,13,Black,4
309,14,Black,4
310,15,Black,5
311,16,Black,4
312,17,Black,3
313,18,Black,4
314,19,Black,4
315,20,Black,3
316,21,Black,4
317,22,Black,3
318,23,Black,3
319,24,Black,5
320,25,Black,4
321,26,Black,3
322,27,Black,4
323,28,Black,3
324,29,Black,4
325,30,Black,3
326,0,Black,4
327,0,Black,4
328,0,Black,3
329,0,Black,4
330,0,Black,4
331,0,Black,4
332,0,Black,4
333,0,Black,4
334,0,Black,4
335,0,Black,4
336,0,Black,3
337,0,Black,3
338,0,Black,4
339,0,Black,3
340,0,Black,4
341,0,Black,4
342,0,Black,3
343,0,Black,4
344,0,Black,3
345,0,Black,4
346,0,Black,4
347,0,Black,4
348,0,Black,4
349,0,Black,3
350,0,Black,3
351,0,Black,3
352,0,Black,4
353,0,Black,4
354,0,Black,4
355,1,White,3
356,2,White,932
357,3,White,934
358,4,White,928
359,5,White,928
360,6,White,925
361,7,White,923
362,8,White,929
363,9,White,935
364,10,White,933
365,11,White,926
366,12,White,931
367,13,White,928
368,14,White,925
369,15,White,930
370,16,White,926
371,17,White,930
372,18,White,933
373,19,White,931
374,20,White,935
375,21,White,928
376,22,White,931
377,23,White,929
378,24,White,928
379,25,White,934
380,26,White,926
381,27,White,933
382,28,White,928
383,29,White,931
384,30,White,930
385,1,Red,929
386,2,Red,340
387,3,Red,333
388,4,Red,338
389,5,Red,339
390,6,Red,336
391,7,Red,341
392,8,Red,334
393,9,Red,339
394,10,Red,337
395,11,Red,336
396,12,Red,335
397,13,Red,335
398,14,Red,336
399,15,Red,339
400,16,Red,338
401,17,Red,339
402,18,Red,340
403,19,Red,341
404,20,Red,334
405,21,Red,339
406,22,Red,339
407,23,Red,333
408,24,Red,338
409,25,Red,333
410,26,Red,334
411,27,Red,336
412,28,Red,336
413,29,Red,336
414,1,Green,340
415,2,Green,384
416,3,Green,382
417,4,Green,384
418,5,Green,386
419,6,Green,387
420,7,Green,388
421,8,Green,390
422,9,Green,385
423,10,Green,385
424,11,Green,385
425,12,Green,384
426,13,Green,388
427,14,Green,391
428,15,Green,390
429,16,Green,381
430,17,Green,384
431,18,Green,386
432,19,Green,381
433,20,Green,383
434,21,Green,386
435,22,Green,386
436,23,Green,379
437,24,Green,385
438,25,Green,382
439,26,Green,380
440,27,Green,386
441,28,Green,386
442,29,Green,378
443,30,Green,384
444,1,Blue,390
445,2,Blue,273
446,3,Blue,276
447,4,Blue,270
448,5,Blue,274
449,6,Blue,279
450,7,Blue,276
451,8,Blue,275
452,9,Blue,275
453,10,Blue,278
454,11,Blue,274
