P1000_concentrate 1,000 mg/L  time 9,000s 
117,Green_1,51
118,Green_2,55
119,Green_3,57
120,Green_4,56
121,Green_5,56
122,Green_6,57
123,Green_7,56
124,Green_8,60
125,Green_9,59
126,Green_10,57
127,Green_11,61
128,Green_12,59
129,Green_13,57
130,Green_14,59
131,Green_15,60
132,Blue_1,56
133,Blue_2,20
134,Blue_3,21
135,Blue_4,22
136,Blue_5,23
137,Blue_6,21
138,Blue_7,24
139,Blue_8,22
140,Blue_9,20
141,Blue_10,24
142,Blue_11,22
143,Blue_12,21
144,Blue_13,23
145,Blue_14,22
146,Black_1,24
147,Black_2,4
148,Black_3,5
149,Black_4,5
150,Black_5,4
151,Black_6,4
152,Black_7,4
153,Black_8,4
154,Black_9,4
155,Black_10,4
156,Black_11,4
157,Black_12,5
158,Black_13,3
159,Black_14,4
160,Black_15,4
161,Black_0,5
162,Black_0,4
163,Black_0,4
164,Black_0,4
165,Black_0,4
166,Black_0,3
167,Black_0,4
168,Black_0,4
169,Black_0,4
170,Black_0,3
171,Black_0,4
172,Black_0,3
173,Black_0,3
174,Black_0,4
175,Black_0,4
176,White_1,3
177,White_2,124
178,White_3,127
179,White_4,123
180,White_5,131
181,White_6,127
182,White_7,128
183,White_8,123
184,White_9,127
185,White_10,123
186,White_11,129
187,White_12,126
188,White_13,125
189,White_14,128
190,Red_1,128
191,Red_2,52
192,Red_3,54
193,Red_4,53
194,Red_5,52
195,Red_6,54
196,Red_7,56
197,Red_8,51
198,Red_9,54
199,Red_10,51
200,Red_11,52
201,Red_12,53
202,Red_13,51
203,Red_14,53
204,Red_15,57
205,Green_1,54
206,Green_2,56
207,Green_3,56
208,Green_4,59
209,Green_5,60
210,Green_6,61
211,Green_7,57
212,Green_8,56
213,Green_9,57
214,Green_10,57
215,Green_11,56
216,Green_12,56
217,Green_13,59
218,Green_14,57
219,Blue_1,60
220,Blue_2,23
221,Blue_3,24
222,Blue_4,22
223,Blue_5,24
224,Blue_6,23
225,Blue_7,24
226,Blue_8,22
227,Blue_9,21
228,Blue_10,22
229,Blue_11,23
230,Blue_12,21
231,Blue_13,23
232,Blue_14,22
233,Blue_15,21
234,Black_1,21
235,Black_2,4
236,Black_3,4
237,Black_4,4
238,Black_5,4
239,Black_6,5
240,Black_7,3
241,Black_8,4
242,Black_9,4
243,Black_10,4
244,Black_11,4
245,Black_12,4
246,Black_13,4
247,Black_14,5
248,Black_0,4
249,Black_0,3
250,Black_0,4
251,Black_0,4
252,Black_0,4
253,Black_0,4
254,Black_0,4
255,Black_0,4
256,Black_0,4
257,Black_0,4
258,Black_0,5
259,Black_0,4
260,Black_0,4
261,Black_0,3
262,Black_0,4
263,White_1,4
264,White_2,125
265,White_3,126
266,White_4,128
267,White_5,124
268,White_6,126
269,White_7,125
270,White_8,123
271,White_9,127
272,White_10,123
273,White_11,122
274,White_12,124
275,White_13,123
276,White_14,127
277,Red_1,130
278,Red_2,52
279,Red_3,56
280,Red_4,53
281,Red_5,51
282,Red_6,52
283,Red_7,52
284,Red_8,56
285,Red_9,54
286,Red_10,52
287,Red_11,53
288,Red_12,51
289,Red_13,52
290,Red_14,53
291,Red_15,54
292,Green_1,55
293,Green_2,58
294,Green_3,60
295,Green_4,56
296,Green_5,55
297,Green_6,56
298,Green_7,56
299,Green_8,61
300,Green_9,59
301,Green_10,59
302,Green_11,55
303,Green_12,57
304,Green_13,55
305,Green_14,56
306,Green_15,59
307,Blue_1,58
308,Blue_2,20
309,Blue_3,24
310,Blue_4,23
311,Blue_5,21
312,Blue_6,23
313,Blue_7,22
314,Blue_8,21
315,Blue_9,21
316,Blue_10,24
317,Blue_11,23
318,Blue_12,22
319,Blue_13,20
320,Blue_14,22
321,Black_1,22
322,Black_2,5
323,Black_3,4
324,Black_4,4
325,Black_5,4
326,Black_6,4
327,Black_7,4
328,Black_8,4
329,Black_9,5
330,Black_10,4
331,Black_11,4
332,Black_12,4
333,Black_13,4
334,Black_14,4
335,Black_15,4
336,Black_0,4
337,Black_0,4
338,Black_0,3
339,Black_0,4
340,Black_0,4
341,Black_0,4
342,Black_0,4
343,Black_0,5
344,Black_0,5
345,Black_0,4
346,Black_0,4
347,Black_0,5
348,Black_0,4
349,Black_0,4
350,White_1,4
351,White_2,123
352,White_3,123
353,White_4,129
354,White_5,129
355,White_6,127
356,White_7,126
357,White_8,129
358,White_9,126
359,White_10,124
360,White_11,125
