P100_No_Reagent_ concentrate 100 mg/L No Reagent -1Day of Solution time 9,000s
149,Black_3,5
150,Black_4,4
151,Black_5,4
152,Black_6,4
153,Black_7,5
154,Black_8,4
155,Black_9,5
156,Black_10,5
157,Black_11,4
158,Black_12,5
159,Black_13,5
160,Black_14,3
161,Black_0,3
162,Black_0,5
163,Black_0,4
164,Black_0,5
165,Black_0,4
166,Black_0,5
167,Black_0,4
168,Black_0,5
169,Black_0,4
170,Black_0,6
171,Black_0,4
172,Black_0,5
173,Black_0,5
174,Black_0,5
175,Black_0,4
176,White_1,5
177,White_2,701
178,White_3,702
179,White_4,707
180,White_5,700
181,White_6,701
182,White_7,698
183,White_8,707
184,White_9,706
185,White_10,694
186,White_11,696
187,White_12,698
188,White_13,700
189,White_14,700
190,Red_1,702
191,Red_2,280
192,Red_3,276
193,Red_4,283
194,Red_5,282
195,Red_6,280
196,Red_7,280
197,Red_8,278
198,Red_9,278
199,Red_10,278
200,Red_11,280
201,Red_12,279
202,Red_13,284
203,Red_14,278
204,Red_15,279
205,Green_1,282
206,Green_2,152
207,Green_3,152
208,Green_4,154
209,Green_5,152
210,Green_6,156
211,Green_7,155
212,Green_8,155
213,Green_9,152
214,Green_10,152
215,Green_11,151
216,Green_12,153
217,Green_13,151
218,Green_14,158
219,Blue_1,156
220,Blue_2,298
221,Blue_3,304
222,Blue_4,299
223,Blue_5,298
224,Blue_6,297
225,Blue_7,295
226,Blue_8,298
227,Blue_9,300
228,Blue_10,299
229,Blue_11,300
230,Blue_12,297
231,Blue_13,297
232,Blue_14,299
233,Blue_15,298
234,Black_1,299
235,Black_2,5
236,Black_3,4
237,Black_4,5
238,Black_5,4
239,Black_6,4
240,Black_7,4
241,Black_8,5
242,Black_9,4
243,Black_10,5
244,Black_11,4
245,Black_12,6
246,Black_13,4
247,Black_14,5
248,Black_15,5
249,Black_0,4
250,Black_0,5
251,Black_0,5
252,Black_0,6
253,Black_0,5
254,Black_0,5
255,Black_0,4
256,Black_0,5
257,Black_0,6
258,Black_0,4
259,Black_0,4
260,Black_0,5
261,Black_0,5
262,Black_0,5
263,White_1,4
264,White_2,703
265,White_3,701
266,White_4,697
267,White_5,699
268,White_6,700
269,White_7,704
270,White_8,700
271,White_9,702
272,White_10,704
273,White_11,700
274,White_12,698
275,White_13,694
276,White_14,694
277,White_15,693
278,Red_1,698
279,Red_2,279
280,Red_3,278
281,Red_4,278
282,Red_5,280
283,Red_6,281
284,Red_7,278
285,Red_8,275
286,Red_9,277
287,Red_10,279
288,Red_11,281
289,Red_12,283
290,Red_13,282
291,Red_14,279
292,Green_1,283
293,Green_2,152
294,Green_3,157
295,Green_4,152
296,Green_5,151
297,Green_6,151
298,Green_7,153
299,Green_8,150
300,Green_9,153
301,Green_10,150
302,Green_11,150
303,Green_12,150
304,Green_13,148
305,Green_14,152
306,Green_15,148
307,Blue_1,149
308,Blue_2,298
309,Blue_3,300
310,Blue_4,298
311,Blue_5,298
312,Blue_6,297
313,Blue_7,295
314,Blue_8,294
315,Blue_9,298
316,Blue_10,300
317,Blue_11,302
318,Blue_12,294
319,Blue_13,300
320,Blue_14,298
321,Black_1,301
322,Black_2,5
323,Black_3,4
324,Black_4,4
325,Black_5,5
326,Black_6,4
327,Black_7,5
328,Black_8,4
329,Black_9,5
330,Black_10,5
331,Black_11,4
332,Black_12,6
333,Black_13,4
334,Black_14,5
335,Black_15,6
336,Black_0,4
337,Black_0,6
338,Black_0,5
339,Black_0,5
340,Black_0,4
341,Black_0,4
342,Black_0,6
343,Black_0,4
344,Black_0,4
345,Black_0,4
346,Black_0,4
347,Black_0,5
348,Black_0,5
349,Black_0,4
350,White_1,5
351,White_2,703
352,White_3,699
353,White_4,702
354,White_5,705
355,White_6,702
356,White_7,701
357,White_8,699
358,White_9,698
359,White_10,705
360,White_11,706
