P10_2D_concentrate 10 mg/L -2 Day of Solution time 9,000s
1,White_1,4
2,White_2,278
3,White_3,274
4,White_4,284
5,White_5,276
6,White_6,281
7,White_7,278
8,White_8,283
9,White_9,280
10,White_10,277
11,White_11,280
12,White_12,285
13,White_13,281
14,White_14,279
15,Red_1,280
16,Red_2,118
17,Red_3,118
18,Red_4,114
19,Red_5,119
20,Red_6,122
21,Red_7,118
22,Red_8,115
23,Red_9,117
24,Red_10,114
25,Red_11,113
26,Red_12,119
27,Red_13,117
28,Red_14,115
29,Red_15,117
30,Green_1,119
31,Green_2,111
32,Green_3,108
33,Green_4,108
34,Green_5,112
35,Green_6,108
36,Green_7,108
37,Green_8,109
38,Green_9,112
39,Green_10,108
40,Green_11,109
41,Green_12,107
42,Green_13,113
43,Green_14,107
44,Green_15,110
45,Blue_1,108
46,Blue_2,66
47,Blue_3,67
48,Blue_4,65
49,Blue_5,66
50,Blue_6,66
51,Blue_7,63
52,Blue_8,64
53,Blue_9,66
54,Blue_10,67
55,Blue_11,66
56,Blue_12,64
57,Blue_13,64
58,Blue_14,64
59,Black_1,64
60,Black_2,4
61,Black_3,4
62,Black_4,5
63,Black_5,4
64,Black_6,6
65,Black_7,4
66,Black_8,5
67,Black_9,5
68,Black_10,4
69,Black_11,5
70,Black_12,4
71,Black_13,5
72,Black_14,5
73,Black_15,4
74,Black_0,5
75,Black_0,4
76,Black_0,5
77,Black_0,5
78,Black_0,4
79,Black_0,4
80,Black_0,6
81,Black_0,5
82,Black_0,5
83,Black_0,4
84,Black_0,5
85,Black_0,5
86,Black_0,4
87,Black_0,5
88,White_1,5
89,White_2,280
90,White_3,281
91,White_4,280
92,White_5,277
93,White_6,284
94,White_7,285
95,White_8,278
96,White_9,275
97,White_10,276
98,White_11,281
99,White_12,277
100,White_13,279
101,White_14,277
102,White_15,277
103,Red_1,280
104,Red_2,114
105,Red_3,118
106,Red_4,118
107,Red_5,116
108,Red_6,113
109,Red_7,119
110,Red_8,116
111,Red_9,115
112,Red_10,120
113,Red_11,114
114,Red_12,114
115,Red_13,116
116,Red_14,118
117,Green_1,120
118,Green_2,107
119,Green_3,109
120,Green_4,113
121,Green_5,108
122,Green_6,110
123,Green_7,112
124,Green_8,107
125,Green_9,114
126,Green_10,108
127,Green_11,112
128,Green_12,105
129,Green_13,113
130,Green_14,110
131,Green_15,111
